time,data
130.3,27.67917082
130.4,27.70147944
130.5,27.723788
130.6,27.74609651
130.7,27.768405
130.8,27.79071351
130.9,27.81302207
131,27.83533068
131.1,27.85763929
131.2,27.87994786
131.3,27.90225638
131.4,27.92456486
131.5,27.94687335
131.6,27.96918189
131.7,27.99149048
131.8,28.01379908
131.9,28.03610765
132,28.05841617
132.1,28.08072465
132.2,28.10303313
132.3,28.12534166
132.4,28.14765022
132.5,28.16995881
132.6,28.19226738
132.7,28.2145759
132.8,28.23688438
132.9,28.25919286
133,28.28150136
133.1,28.3038099
133.2,28.32611848
133.3,28.34842704
133.4,28.37073557
133.5,28.39304405
133.6,28.41535251
133.7,28.437661
133.8,28.45996952
133.9,28.48227808
134,28.50458664
134.1,28.52689517
134.2,28.54920365
134.3,28.57151211
134.4,28.59382058
134.5,28.61612908
134.6,28.63843762
134.7,28.66074617
134.8,28.6830547
134.9,28.70536318
135,28.72767164
135.1,28.7499801
135.2,28.77228858
135.3,28.79459711
135.4,28.81690564
135.5,28.83921416
135.6,28.86152265
135.7,28.8838311
135.8,28.90613955
135.9,28.92844802
136,28.95075653
136.1,28.97306505
136.2,28.99537357
136.3,29.01768205
136.4,29.0399905
136.5,29.06229894
136.6,29.0846074
136.7,29.10691588
136.8,29.12922439
136.9,29.1515329
137,29.17384139
137.1,29.19614984
137.2,29.21845827
137.3,29.24076671
137.4,29.26307518
137.5,29.28538368
137.6,29.30769218
137.7,29.33000066
137.8,29.3523091
137.9,29.37461753
138,29.39692596
138.1,29.41923442
138.2,29.4415429
138.3,29.46385138
138.4,29.48615986
138.5,29.50846831
138.6,29.53077673
138.7,29.55308515
138.8,29.57539359
138.9,29.59770205
139,29.62001053
139.1,29.642319
139.2,29.66462745
139.3,29.68693587
139.4,29.70924428
139.5,29.7315527
139.6,29.75386115
139.7,29.77616961
139.8,29.79847808
139.9,29.82078652
140,29.84309494
140.1,29.86540334
140.2,29.88771175
140.3,29.91002018
140.4,29.93232864
140.5,29.95463709
140.6,29.97694553
140.7,29.99925394
140.8,30.02156234
140.9,30.04387074
141,30.06617916
141.1,30.08848759
141.2,30.11079604
141.3,30.13310447
141.4,30.15541288
141.5,30.17772127
141.6,30.20002966
141.7,30.22233807
141.8,30.24464649
141.9,30.26695492
142,30.28926335
142.1,30.31157175
142.2,30.33388014
142.3,30.35618852
142.4,30.37849692
142.5,30.40080532
142.6,30.42311374
142.7,30.44542216
142.8,30.46773056
142.9,30.49003895
