time,distur_data,data
637.2,4179.770043,80.00838019
637.3,-604.8917051,80.00715312
637.4,3585.111666,80.00586295
637.5,4971.767301,80.00516951
637.6,493.0233143,80.00549866
637.7,-3757.156943,80.00683156
637.8,3463.25356,80.00839855
637.9,-3097.421107,80.00869672
638,1643.455865,80.00791717
638.1,1562.725765,80.00633845
638.2,4731.931705,80.00510992
638.3,-423.8356955,80.00491501
638.4,-3406.533477,80.00614398
638.5,-3608.149383,80.00801969
638.6,-2166.672837,80.00920109
638.7,4729.635245,80.00879543
638.8,979.5634011,80.00677037
638.9,3522.081803,80.00480477
639,-4371.13963,80.00411299
639.1,4256.232162,80.00556614
639.2,4493.941017,80.00760679
639.3,-333.3240726,80.00882651
639.4,-2177.687719,80.00862343
639.5,-397.4946008,80.00721985
639.6,-691.7557333,80.005509
639.7,3661.390272,80.00471139
639.8,-3013.693838,80.00513319
639.9,-1152.341764,80.00681303
640,2591.964196,80.00840354
640.1,3142.245933,80.00860369
